Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio
Test the feedback functionality. (US4.2.4),SCRUM-37,10041,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,,,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,32:18.8,44:18.8,05-01-2025 00:53,05-01-2025 00:10,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Implement frontend integration with APIs. (US4.2.3),SCRUM-36,10040,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,,,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,38:18.8,52:18.8,06-01-2025 00:37,05-01-2025 00:27,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Develop backend APIs for storing feedbacks. (US4.2.2),SCRUM-35,10039,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,,,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,01:18.8,26:18.8,06-01-2025 00:37,05-01-2025 00:10,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Design the feedback input field and UI. (US4.2.1),SCRUM-34,10038,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,,,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,46:18.8,57:18.8,06-01-2025 00:37,05-01-2025 00:10,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Conduct user testing and gather feedback. (US1.1.4),SCRUM-33,10037,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,golu,5d1b3d38ca72d00d24b9ee7c,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,06:18.8,06:18.8,06-01-2025 00:37,05-01-2025 00:07,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Integrate animations using JavaScript. (US1.1.3),SCRUM-32,10036,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,golu,5d1b3d38ca72d00d24b9ee7c,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,37:18.8,06:18.8,06-01-2025 00:37,05-01-2025 00:07,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Develop HTML and CSS for the layout. (US1.1.2),SCRUM-31,10035,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,tarun,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,00:18.8,11:18.8,06-01-2025 00:37,05-01-2025 00:07,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Create wireframes for the homepage. (US1.1.1),SCRUM-30,10034,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,tarun,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,44:18.8,54:18.8,05-01-2025 00:06,05-01-2025 00:07,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Implement user authentication for collaboration features. (US04.3),SCRUM-29,10033,Task,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,tarun,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,57:18.8,17:18.8,05-01-2025 00:50,05-01-2025 00:10,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Enable users to feedback on resources and principles. (US04.2),SCRUM-28,10032,Task,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,golu,5d1b3d38ca72d00d24b9ee7c,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,43:18.8,19:18.8,05-01-2025 00:27,05-01-2025 00:28,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Develop a discussion forum for users. (US04.1),SCRUM-27,10031,Task,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,tarun,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,48:18.8,15:18.8,06-01-2025 00:37,05-01-2025 00:10,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Add search and filter functionality. (US03.3),SCRUM-26,10030,Task,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,40:18.8,04:18.8,05-01-2025 00:49,05-01-2025 00:27,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Include downloadable resources like templates and guides. (US03.2),SCRUM-25,10029,Task,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,tarun,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,16:18.8,49:18.8,06-01-2025 00:37,05-01-2025 00:10,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
"Design a library for Agile practices (Scrum, Kanban, etc.). (US03.1)",SCRUM-24,10028,Task,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,tarun,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,18:18.8,46:18.8,06-01-2025 00:37,05-01-2025 00:10,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Add examples to illustrate each value and principle. (US02.3),SCRUM-23,10027,Task,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,tarun,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,20:18.8,21:18.8,05-01-2025 00:49,05-01-2025 00:22,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Implement an interactive feature to explain the 12 principles. (US02.2),SCRUM-22,10026,Task,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,21:18.8,34:18.8,06-01-2025 00:37,05-01-2025 00:11,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Create a page to display the four core Agile values. (US02.1),SCRUM-21,10025,Task,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,tarun,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,18:18.8,06:18.8,04-01-2025 23:50,05-01-2025 00:10,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Include navigation to other sections of the platform. (US1.3),SCRUM-20,10024,Task,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,00:18.8,29:18.8,06-01-2025 00:18,05-01-2025 00:11,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Add an introduction to Agile and its history. (US1.12),SCRUM-19,10023,Task,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,30:18.8,03:18.8,05-01-2025 00:21,05-01-2025 00:27,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Design and implement a visually appealing homepage. (US1.1),SCRUM-18,10022,Task,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,golu,5d1b3d38ca72d00d24b9ee7c,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,30:18.8,02:18.8,05-01-2025 00:07,05-01-2025 00:08,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Collaboration Features. (US004),SCRUM-5,10009,Story,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,33:18.8,59:18.8,05-01-2025 00:12,05-01-2025 00:28,,0,This is a Collaboration Feature.,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Resource Library. (US003),SCRUM-4,10008,Story,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,35:18.8,09:18.8,04-01-2025 23:55,05-01-2025 00:27,,0,This is a Resource Library.,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
 Agile Values and Principles. (US002) ,SCRUM-3,10007,Story,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,44:18.8,39:18.8,06-01-2025 00:26,05-01-2025 00:22,,0,This is a Aglie Values and Principles.,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Homepage for Agile Manifesto. (US001),SCRUM-2,10006,Story,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,57:18.8,37:18.8,05-01-2025 00:22,05-01-2025 00:27,,0,This is a Home page for Aglie Manifesto.,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,SCRUM-1,10005,Epic,To Do,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,,,,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,42:18.8,02:18.8,05-01-2025 00:16,,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
